z_mm,csv_d4x_um,csv_d4y_um,total_energy_cnts,pixel_scale_um_per_px,beam_cx_px,beam_cy_px,orig_d4x_px,orig_d4y_px,csv_gaussian90_d4x_um,csv_gaussian90_d4y_um,png90_d4x_raw_um,png90_d4y_raw_um,png90_d4x_iso_um,png90_d4y_iso_um,r90_of_d4_ellipse
120,4550.0,4967.0,544564.77,80.0,355.82,203.32,56.875,62.0875,3925.0369016282402,4284.760063821422,14071.089264969767,2343.5931994971606,16311.555218513566,2716.7512879403903,2.6792
150,3435.0,3693.0,504547.58,80.0,353.57,240.71,42.9375,46.1625,2963.1871993611003,3185.749731365515,10654.696840615887,1765.4823351366474,12351.188495754417,2046.5908540985702,2.6883
180,2453.0,2528.0,568243.13,80.0,354.02,266.89,30.6625,31.6,2116.0693449877085,2180.7677554541083,7337.66220627692,1213.2214565708516,8505.999784284875,1406.39636409722,2.6388
200,1684.0,1644.0,519728.48,80.0,334.07,292.25,21.05,20.55,1452.6949763388916,1418.1891574234785,4986.303728130669,1260.6476770086979,5780.246792987579,1461.3740135819123,2.6562
210,1337.0,1261.0,482475.13,80.0,338.32,303.06,16.7125,15.7625,1153.356997247683,1087.7959413083981,4136.329885941468,820.8019395910959,4794.936061168335,951.4939397360125,2.725
220,1074.0,823.1,513466.33,80.0,338.96,315.51,13.425,10.28875,926.4812378788419,710.0434887319132,3457.3654078612017,688.503313608686,4007.863620146527,798.1300954444463,2.7309
230,868.6,528.8,442092.05,80.0,326.93,289.66,10.8575,6.609999999999999,749.2938577481956,456.16692606176116,2472.7474792054027,375.3089361833064,2866.4701281451084,435.0674152708347,2.6614
240,888.3,588.0,91425.8,80.0,327.48,294.01,11.10375,7.35,766.2879735640364,507.2355380565726,2423.6955919794336,477.59600275200626,2809.607965451664,553.6411165001194,2.6334
250,1067.0,797.0,466620.31,80.0,323.78,275.3,13.3375,9.9625,920.4427195686445,687.528441889606,2993.980208644911,607.6240712103163,3470.6960191083085,704.3728742677682,2.6232
260,1339.0,1170.0,520974.73,80.0,313.9,242.43,16.7375,14.625,1155.0822881934537,1009.2952032758333,3627.9841466344574,851.6703325499818,4205.649088379009,987.2773454677312,2.5434
270,1681.0,1586.0,526307.81,80.0,322.68,206.75,21.0125,19.825,1450.1070399202356,1368.1557199961296,5391.525446194536,627.1821110408719,6249.989845957538,727.0450384943293,2.6986
280,1989.0,2011.0,529464.27,80.0,350.24,170.62,24.8625,25.1375,1715.8018455689164,1734.7800459723937,5922.476727865293,1230.2532561576643,6865.4817233969,1426.1400480579618,2.757
300,2698.0,2845.0,519066.94,80.0,285.03,110.96,33.725,35.5625,2327.4174858446136,2454.226370358757,7969.003439325842,1406.296492038489,9237.866180032885,1630.2137277029792,2.6694
330,3813.0,4083.0,511089.58,80.0,286.36,176.84,47.6625,51.0375,3289.267188111754,3522.1814657907926,11653.641840746304,2267.4663208675843,13509.190283892483,2628.5031245611153,2.6905
360,5085.0,5523.0,3208418.64,80.0,294.19,119.15,63.5625,69.0375,4386.552229621891,4764.390946745664,15883.610643381831,2990.6752353739575,18412.674896739714,3466.8648122280374,2.6808
