source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_DATA/1/AUTOX,[1],|S5,1,,,,,1139b6cfb47a3711e96a77cadebafafd1a7809f362f9acb3dbc6de118cab6269
DataBase\data\120\120.binary.bgData,BG_DATA/1/BADPIXELCORRECTED,[1],|S5,1,,,,,1139b6cfb47a3711e96a77cadebafafd1a7809f362f9acb3dbc6de118cab6269
DataBase\data\120\120.binary.bgData,BG_DATA/1/COMMENT,[1],|S1,1,,,,,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_DATA/1/DATA,[102400],int32,102400,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4
DataBase\data\120\120.binary.bgData,BG_DATA/1/DATA_TYPE,[1],|S12,1,,,,,fe79efc3abe7cdc3dd806975a11087f872f8064bdeb4f69fc6b61fcef97fed6a
DataBase\data\120\120.binary.bgData,BG_DATA/1/GAINCORRECTED,[1],|S5,1,,,,,1139b6cfb47a3711e96a77cadebafafd1a7809f362f9acb3dbc6de118cab6269
DataBase\data\120\120.binary.bgData,BG_DATA/1/GAMMACORRECTED,[1],|S5,1,,,,,1139b6cfb47a3711e96a77cadebafafd1a7809f362f9acb3dbc6de118cab6269
DataBase\data\120\120.binary.bgData,BG_DATA/1/HASDATA,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_DATA/1/METADATA/SATURATED,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/BINNINGX,[1],int32,1,1.0,1.0,1.0,1.0,67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450
DataBase\data\120\120.binary.bgData,BG_DATA/1/RAWFRAME/BINNINGY,[1],int32,1,1.0,1.0,1.0,1.0,67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450
