source,dataset,width,height,pixel_scale_x_um,pixel_scale_y_um,energy_of_beam,energy_of_frame,exposure_stamp,gain_stamp,min,max,mean,sum,sha256,npy,csv,quicklook_png
DataBase\data\120\120.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\120.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\120.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\120.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\150\150.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\150.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\150.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\150.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\180\180.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\180.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\180.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\180.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\200\200.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\200.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\200.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\200.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\210\210.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\210.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\210.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\210.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\220\220.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1638488064.0,20108.68,2059128832.0,8b76fba6d37d8d6521f057ee592ac42960bf7ad41b4757c5049b72b9a6f544d4,DataBase\bgdata_extract\220.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\220.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\220.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\230\230.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\230.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\230.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\230.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\240\240.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\240.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\240.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\240.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\250\250.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\250.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\250.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\250.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\260\260.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\260.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\260.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\260.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\270\270.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\270.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\270.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\270.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\280\280.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\280.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\280.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\280.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\300\300.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\300.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\300.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\300.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\330\330.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\330.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\330.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\330.binary\frames\BG_DATA__1__DATA_quicklook.png
DataBase\data\360\360.binary.bgData,BG_DATA/1/DATA,320,320,80.0,80.0,0.0,0.0,0.05,0.0,-23543808.0,1213558784.0,91026.44,9321107456.0,f22150b996c99fc65f6a0d7b7f6a969de28225c2e62110882cd38aa599ae199a,DataBase\bgdata_extract\360.binary\frames\BG_DATA__1__DATA_raw.npy,DataBase\bgdata_extract\360.binary\frames\BG_DATA__1__DATA_raw.csv,DataBase\bgdata_extract\360.binary\frames\BG_DATA__1__DATA_quicklook.png
