z_mm,d4x_um,d4y_um,ellipticity,circularity,source_file
120.0,4550.0,4967.0,1.0916483516483517,0.9160459029595329,DataBase/data/120/120.results.csv
150.0,3435.0,3693.0,1.0751091703056768,0.9301380991064175,DataBase/data/150/150.results.csv
180.0,2453.0,2528.0,1.0305748063595597,0.9703322784810127,DataBase/data/180/180.results.csv
200.0,1684.0,1644.0,1.024330900243309,0.9762470308788599,DataBase/data/200/200.results.csv
210.0,1337.0,1261.0,1.0602696272799366,0.9431563201196709,DataBase/data/210/210.results.csv
220.0,1074.0,823.1,1.3048232292552544,0.7663873370577281,DataBase/data/220/220.results.csv
230.0,868.6,528.8,1.6425869894099852,0.6087957632972599,DataBase/data/230/230.results.csv
240.0,888.3,588.0,1.5107142857142857,0.6619385342789599,DataBase/data/240/240.results.csv
250.0,1067.0,797.0,1.3387703889585947,0.746954076850984,DataBase/data/250/250.results.csv
260.0,1339.0,1170.0,1.1444444444444444,0.8737864077669902,DataBase/data/260/260.results.csv
270.0,1681.0,1586.0,1.0598991172761665,0.9434860202260559,DataBase/data/270/270.results.csv
280.0,1989.0,2011.0,1.0110608345902463,0.9890601690701144,DataBase/data/280/280.results.csv
300.0,2698.0,2845.0,1.0544848035581913,0.9483304042179261,DataBase/data/300/300.results.csv
330.0,3813.0,4083.0,1.07081038552321,0.9338721528288023,DataBase/data/330/330.results.csv
360.0,5085.0,5523.0,1.0861356932153392,0.9206952743074416,DataBase/data/360/360.results.csv
